kecamatan,desa,rt
Reteh,Pulau Ruku,RT 003 RW 001 DUSUN KUALA KERITANG TIMUR
Reteh,Pulau Ruku,RT 004 RW 001 DUSUN KUALA KERITANG TIMUR
Reteh,Pulau Ruku,RT 005 RW 001 DUSUN KUALA KERITANG TIMUR
Reteh,Pulau Ruku,RT 006 RW 001 DUSUN KUALA KERITANG TIMUR
Reteh,Pulau Ruku,RT 001 RW 002 DUSUN KUALA KERANG BARAT
Reteh,Pulau Ruku,RT 002 RW 002 DUSUN KUALA KERANG BARAT
Reteh,Pulau Ruku,RT 003 RW 002 DUSUN KUALA KERANG BARAT
Reteh,Pulau Ruku,RT 004 RW 002 DUSUN KUALA KERANG BARAT
Reteh,Pulau Ruku,RT 005 RW 002 DUSUN KUALA KERANG BARAT
Reteh,Pulau Ruku,RT 006 RW 002 DUSUN KUALA KERANG BARAT
Reteh,Pulau Ruku,RT 001 RW 003 DUSUN SINAR PELITA
Reteh,Pulau Ruku,RT 002 RW 003 DUSUN SINAR PELITA
Reteh,Pulau Ruku,RT 003 RW 003 DUSUN SINAR PELITA
Reteh,Pulau Ruku,RT 004 RW 003 DUSUN SINAR PELITA
Reteh,Pulau Ruku,RT 005 RW 003 DUSUN SINAR PELITA
Reteh,Pulau Ruku,RT 006 RW 003 DUSUN SINAR PELITA
Reteh,Pulau Ruku,WILAYAH BERVEGETASI
Reteh,Metro,RT 001 RW 001
Reteh,Metro,RT 002 RW 001
Reteh,Metro,RT 003 RW 001
Reteh,Metro,RT 001 RW 002
Reteh,Metro,RT 002 RW 002
Reteh,Metro,RT 003 RW 002
Reteh,Metro,RT 001 RW 003
Reteh,Metro,RT 002 RW 003
Reteh,Metro,RT 003 RW 003
Reteh,Metro,RT 001 RW 004
Reteh,Metro,RT 002 RW 004
Reteh,Metro,RT 003 RW 004
Reteh,Metro,PERTANIAN
Reteh,Madani,RT 001 RW 001
Reteh,Madani,RT 002 RW 001
Reteh,Madani,RT 001 RW 002
Reteh,Madani,RT 002 RW 002
Reteh,Madani,RT 003 RW 002
Reteh,Madani,RT 004 RW 002
Reteh,Madani,RT 001 RW 003
Reteh,Madani,RT 002 RW 003
Reteh,Madani,RT 003 RW 003
Reteh,Madani,RT 004 RW 003
Reteh,Madani,RT 001 RW 004
Reteh,Madani,RT 002 RW 004
Reteh,Madani,RT 003 RW 004
Reteh,Madani,RT 004 RW 004
Reteh,Tanjung Labuh,RT 001 RW 001 DUSUN TELUK DALAM
Reteh,Tanjung Labuh,RT 002 RW 001 DUSUN TELUK DALAM
Reteh,Tanjung Labuh,RT 003 RW 001 DUSUN TELUK DALAM
Reteh,Tanjung Labuh,RT 001 RW 001 DUSUN MULYA
Reteh,Tanjung Labuh,RT 002 RW 001 DUSUN MULYA
Reteh,Tanjung Labuh,RT 001 RW 002 DUSUN MULYA
Reteh,Tanjung Labuh,RT 002 RW 002 DUSUN MULYA
Reteh,Tanjung Labuh,RT 001 RW 001 DUSUN SINAR BARU
Reteh,Tanjung Labuh,RT 001 RW 002 DUSUN SINAR BARU
Reteh,Sungai Mahang,RT 001 RW 001 DUSUN RAJA MUD
Reteh,Sungai Mahang,RT 002 RW 001 DUSUN RAJA MUD
Reteh,Sungai Mahang,RT 003 RW 002 DUSUN RAJA MUD
Reteh,Sungai Mahang,RT 004 RW 002 DUSUN RAJA MUD
Reteh,Sungai Mahang,RT 005 RW 003 DUSUN BAROKAH
Reteh,Sungai Mahang,RT 006 RW 003 DUSUN BAROKAH
Reteh,Sungai Mahang,RT 007 RW 004 DUSUN BAROKAH
Reteh,Sungai Mahang,RT 008 RW 004 DUSUN BAROKAH
Reteh,Sungai Mahang,RT 009 RW 005 DUSUN SUMBER REJEKI
Reteh,Sungai Mahang,RT 010 RW 005 DUSUN SUMBER REJEKI
Reteh,Sungai Mahang,RT 011 RW 005 DUSUN SUMBER REJEKI
Reteh,Sungai Mahang,RT 012 RW 006 DUSUN SUMBER REJEKI
Sungai Batang,Kuala Patah Parang,RT 001 RW 001 DUSUN TUK KHALDUN
Sungai Batang,Kuala Patah Parang,RT 002 RW 001 DUSUN TUK KHALDUN
Sungai Batang,Kuala Patah Parang,RT 003 RW 002 DUSUN TUK KHALDUN
Sungai Batang,Kuala Patah Parang,RT 004 RW 002 DUSUN TUK SATE
Sungai Batang,Kuala Patah Parang,RT 005 RW 003 DUSUN TUK SATE
Sungai Batang,Kuala Patah Parang,RT 006 RW 003 DUSUN TUK SATE
Sungai Batang,Kuala Patah Parang,RT 007 RW 004 DUSUN TUK HAMZAH
Sungai Batang,Kuala Patah Parang,RT 008 RW 004 DUSUN TUK HAMZAH
Sungai Batang,Kuala Patah Parang,RT 009 RW 005 DUSUN TUK HAMZAH
Sungai Batang,Kuala Patah Parang,RT 010 RW 005 DUSUN TUK HAMZAH
Sungai Batang,Kuala Patah Parang,RT 011 RW 001 DUSUN TUK KHALDUN
Sungai Batang,Kuala Patah Parang,RT 012 RW 006 DUSUN TUK SERENTUK
Sungai Batang,Kuala Patah Parang,RT 013 RW 006 DUSUN TUK SERUNTUK
Sungai Batang,Kuala Patah Parang,PULAU PUCUNG
Sungai Batang,Kuala Patah Parang,P. PENIMANG, SUNGAI PERIGI
Sungai Batang,Kuala Sungai Batang,RT 001 RW 001 DUSUN TENGKU SULUNG
Sungai Batang,Kuala Sungai Batang,RT 001 RW 003 DUSUN PANGLIMA BESAR
Sungai Batang,Kuala Sungai Batang,RT 002 RW 003 DUSUN PANGLIMA BESAR
Sungai Batang,Kuala Sungai Batang,RT 001 RW 002 DUSUN BERINGIN
Sungai Batang,Kuala Sungai Batang,RT 002 RW 001 DUSUN TENGKU SULUNG
Sungai Batang,Kuala Sungai Batang,RT 002 RW 002 DUSUN BERINGIN
Sungai Batang,Kuala Sungai Batang,HUTAN PULAU PUCUNG
Sungai Batang,Kuala Sungai Batang,HUTAN SUNGAI HARIMAU
Sungai Batang,Pasenggerahan,RT 001 RW 001 DUSUN LEMANG
Sungai Batang,Pasenggerahan,RT 002 RW 001 DUSUN KALONG
Sungai Batang,Pasenggerahan,RT 003 RW 002 DUSUN KALONG
Sungai Batang,Pasenggerahan,RT 004 RW 002 DUSUN KALONG
Sungai Batang,Pasenggerahan,RT 005 RW 003 DUSUN KALONG
Sungai Batang,Pasenggerahan,RT 006 RW 003 DUSUN PANDAK
Sungai Batang,Pasenggerahan,RT 008 RW 004 DUSUN RAJA
Sungai Batang,Pasenggerahan,RT 009 RW 005 DUSUN RAJA
Sungai Batang,Pasenggerahan,RT 010 RW 005 DUSUN RAJA
Sungai Batang,Pasenggerahan,RT 011 RW 006 DUSUN LEMANG
Sungai Batang,Pasenggerahan,RT 013 RW 003 DUSUN BAKONG
Sungai Batang,Pasenggerahan,RT 012 RW 003 DUSUN KALONG
Sungai Batang,Pasenggerahan,P TOHID,P BAKONG,P MARINDO,P ANJANG,P PENGELU
Sungai Batang,Benteng,RT 001 RW 001
Sungai Batang,Benteng,RT 002 RW 001
Sungai Batang,Benteng,RT 001 RW 002
Sungai Batang,Benteng,RT 002 RW 002
Sungai Batang,Benteng,RT 001 RW 003
Sungai Batang,Benteng,RT 002 RW 003
Sungai Batang,Benteng,RT 001 RW 004
Sungai Batang,Benteng,RT 002 RW 004
Sungai Batang,Benteng,RT 001 RW 005
Sungai Batang,Benteng,RT 002 RW 005
Sungai Batang,Benteng,RT 001 RW 006
Sungai Batang,Benteng,RT 002 RW 006
Sungai Batang,Benteng,RT 001 RW 007
Sungai Batang,Benteng,RT 001 RW 008
Sungai Batang,Benteng,RT 002 RW 008
Sungai Batang,Benteng,RT 001 RW 009
Sungai Batang,Benteng,RT 002 RW 009
Sungai Batang,Benteng,RT 001 RW 010
Sungai Batang,Benteng,RT 002 RW 010
Sungai Batang,Benteng,RT 001 RW 011
Sungai Batang,Benteng,RT 002 RW 011
Sungai Batang,Benteng,RT 001 RW 012
Sungai Batang,Benteng,RT 002 RW 012
Sungai Batang,Benteng,RT 003 RW 008
Sungai Batang,Benteng,RT 003 RW 009  009
Sungai Batang,Benteng,KEPALA PARIT
Sungai Batang,Benteng Barat,RT 001 RW 001 DUSUN BONE
Sungai Batang,Benteng Barat,RT 002 RW 001 DUSUN BONE
Sungai Batang,Benteng Barat,RT 003 RW 002 DUSUN BONE
Sungai Batang,Benteng Barat,RT 004 RW 002 DUSUN BONE
Sungai Batang,Benteng Barat,RT 005 RW 003 DUSUN BONE JAYA
Sungai Batang,Benteng Barat,RT 006 RW 003 DUSUN BONE JAYA
Sungai Batang,Benteng Barat,RT 007 RW 003 DUSUN BONE JAYA
Sungai Batang,Benteng Barat,RT 008 RW 003 DUSUN BONE JAYA
Sungai Batang,Benteng Barat,RT 009 RW 004 DUSUN MEKAR JAYA
Sungai Batang,Benteng Barat,RT 010 RW 004 DUSUN MEKAR JAYA
Sungai Batang,Benteng Barat,RT 011 RW 004 DUSUN MEKAR JAYA
Sungai Batang,Benteng Barat,RT 013 RW 005 DUSUN MEKAR JAYA
Sungai Batang,Benteng Barat,RT 014 RW 005 DUSUN MEKAR JAYA
Sungai Batang,Benteng Barat,RT 012 RW 005 PARIT KADDAS H
Sungai Batang,Benteng Utara,RT 001 RW 001 DUSUN I
Sungai Batang,Benteng Utara,RT 002 RW 001 DUSUN I
Sungai Batang,Benteng Utara,RT 001 RW 002 DUSUN I
Sungai Batang,Benteng Utara,RT 002 RW 002 DUSUN I
Sungai Batang,Benteng Utara,RT 001 RW 003 DUSUN I
Sungai Batang,Benteng Utara,RT 002 RW 003 DUSUN I
Sungai Batang,Benteng Utara,RT 001 RW 004 DUSUN II
Sungai Batang,Benteng Utara,RT 002 RW 004 DUSUN II
Sungai Batang,Benteng Utara,RT 003 RW 004 DUSUN II
Sungai Batang,Benteng Utara,RT 001 RW 005 DUSUN II
Sungai Batang,Benteng Utara,RT 002 RW 005 DUSUN II
Sungai Batang,Benteng Utara,RT 001 RW 006 DUSUN III
Sungai Batang,Benteng Utara,RT 002 RW 006 DUSUN III
Sungai Batang,Benteng Utara,RT 003 RW 005 DUSUN II
Sungai Batang,Benteng Utara,PARIT CETTONG
Sungai Batang,Benteng Utara,PRT BENIPAH, PRT JABRA, PRT SULUNG, PRT POKKO
Sungai Batang,Benteng Utara,P. MASRAN,P. TORANG,P. KAUMI 2,P.TONE,P.LAMA 1-4
Sungai Batang,Benteng Utara,P. MUJIB, P. MATARAWI, P. UNUS, P. R. AWANG, P.22
Sungai Batang,Pandan Sari,RT 001 RW 001 DUSUN 1
Sungai Batang,Pandan Sari,RT 002 RW 001 DUSUN 1
Sungai Batang,Pandan Sari,RT 003 RW 002 DUSUN 2
Sungai Batang,Pandan Sari,RT 004 RW 002 DUSUN 2
Sungai Batang,Pandan Sari,RT 005 RW 003 DUSUN 3
Sungai Batang,Pandan Sari,RT 006 RW 003 DUSUN 3
Sungai Batang,Pandan Sari,RT 010 RW 005 DUSUN 4
Sungai Batang,Pandan Sari,RT 011 RW 005 DUSUN 4
Sungai Batang,Pandan Sari,RT 007 RW 003 DUSUN 3
Sungai Batang,Pandan Sari,RT 009 RW 004 DUSUN 4
Sungai Batang,Pandan Sari,RT 008 RW 004 DUSUN 4
Sungai Batang,Pandan Sari,SUNGAI, LIPAT, SUNGAI BATANG HARI, SUNGAI SEI WENI
Sungai Batang,Mugo Mulyo,RT 001 RW 001 DUSUN MUGOMULYO 1
Sungai Batang,Mugo Mulyo,RT 002 RW 001 DUSUN MOGOMULYO 1
Sungai Batang,Mugo Mulyo,RT 003 RW 001 DUSUN MOGOMULYO 1
Sungai Batang,Mugo Mulyo,RT 004 RW 001 DUSUN MUGOMULYO 1
Sungai Batang,Mugo Mulyo,RT 005 RW 001 DUSUN MUGOMULYO 1
Sungai Batang,Mugo Mulyo,RT 006 RW 002 DUSUN MUGOMULYO 2
Sungai Batang,Mugo Mulyo,RT 007 RW 002 DUSUN MUGOMULYO 2
Sungai Batang,Mugo Mulyo,RT 008 RW 002 DUSUN MUGOMULYO 2
Sungai Batang,Mugo Mulyo,RT 009 RW 002 DUSUN MUGOMULYO 2
Sungai Batang,Mugo Mulyo,RT 10 RW 003 DUSUN MUGOMULYO 2
Enok,Bagan Jaya,RT 001 RW 001 DUSUN RUKUN MAKMUR
Enok,Bagan Jaya,RT 002 RW 001 DUSUN RUKUN MAKMUR
Enok,Bagan Jaya,RT 003 RW 002 DUSUN RUKUN MAKMUR
Enok,Bagan Jaya,RT 004 RW 002 DUSUN RUKUN MAKMUR
Enok,Bagan Jaya,RT 005 RW 003 DUSUN RUKUN MAKMUR
Enok,Bagan Jaya,RT 006 RW 003 DUSUN RUKUN MAKMUR
Enok,Bagan Jaya,RT 008 RW 004 DUSUN JATI MORO
Enok,Bagan Jaya,RT 009 RW 004 DUSUN JATI MORO
Enok,Bagan Jaya,RT 010 RW 004 DUSUN JATI MORO
Enok,Bagan Jaya,RT 011 RW 004 DUSUN JATI MORO
Enok,Bagan Jaya,RT 012 RW 005 DUSUN JATI MORO
Enok,Bagan Jaya,RT 013 RW 005 DUSUN JATI MORO
Enok,Bagan Jaya,RT 014 RW 006 DUSUN JATI MORO
Enok,Bagan Jaya,RT 015 RW 006 DUSUN JATI MORO
Enok,Bagan Jaya,RT 016 RW 006 DUSUN JATI MORO
Enok,Bagan Jaya,RT 017 RW 006 DUSUN JATI MORO
Enok,Bagan Jaya,RT 018 RW 007 DUSUN HARAPAN
Enok,Bagan Jaya,RT 019 RW 007 DUSUN HARAPAN
Enok,Bagan Jaya,RT 020 RW 008 DUSUN HARAPAN
Enok,Bagan Jaya,RT 021 RW 008 DUSUN HARAPAN
Enok,Bagan Jaya,RT 022 RW 009 DUSUN SUKA DAMAI
Enok,Bagan Jaya,RT 023 RW 009 DUSUN SUKA DAMAI
Enok,Bagan Jaya,RT 024 RW 009 DUSUN SUKA DAMAI
Enok,Bagan Jaya,RT 025 RW 009 DUSUN SUKA DAMAI
Enok,Bagan Jaya,RT 026 RW 010 DUSUN SUKA DAMAI
Enok,Bagan Jaya,RT 027 RW 010 DUSUN SUKA DAMAI
Enok,Bagan Jaya,RT 028 RW 011 DUSUN SUKA DAMAI
Enok,Bagan Jaya,RT 029 RW 011 DUSUN SUKA DAMAI
Enok,Bagan Jaya,RT 030 RW 011 DUSUN SUKA DAMAI
Enok,Bagan Jaya,RT 031 RW 012 DUSUN SUKA MANDIRI
Enok,Bagan Jaya,RT 032 RW 012 DUSUN SUKA MANDIRI
Enok,Bagan Jaya,RT 033 RW 012 DUSUN SUKA MANDIRI
Enok,Bagan Jaya,RT 034 RW 012 DUSUN SUKA MANDIRI
Enok,Bagan Jaya,RT 035 RW 013 DUSUN SUKA MANDIRI
Enok,Bagan Jaya,RT 036 RW 013 DUSUN SUKA MANDIRI
Enok,Bagan Jaya,RT 037 RW 014 DUSUN SUKA MANDIRI
Enok,Bagan Jaya,RT 038 RW 014 DUSUN SUKA MANDIRI
Enok,Bagan Jaya,RT 039 RW 012 DUSUN SUKA MANDIRI
Enok,Bagan Jaya,RT 040 RW 015 DUSUN SUKA MAKMUR
Enok,Bagan Jaya,RT 041 RW 015 DUSUN SUKA MAKMUR
Enok,Bagan Jaya,RT 042 RW 016 DUSUN SUKA MAKMUR
Enok,Bagan Jaya,RT 043 RW 016 DUSUN SUKA MAKMUR
Enok,Bagan Jaya,PERKEBUNAN
Enok,Bagan Jaya,PERKEBUNAN
Enok,Suhada,RT 001 RW 001 DUSUN JAYA
Enok,Suhada,RT 002 RW 001 DUSUN JAYA
Enok,Suhada,RT 003 RW 001 DUSUN JAYA
Enok,Suhada,RT 004 RW 001 DUSUN JAYA
Enok,Suhada,RT 005 RW 002 DUSUN SETIA
Enok,Suhada,RT 006 RW 002 DUSUN SETIA
Enok,Suhada,RT 007 RW 003 DUSUN SETIA
Enok,Suhada,RT 008 RW 003 DUSUN SETIA
Enok,Suhada,RT 009 RW 004 DUSUN HARAPAN
Enok,Suhada,RT 010 RW 004 DUSUN HARAPAN
Enok,Suhada,RT 011 RW 004 DUSUN HARAPAN
Enok,Suhada,RT 012 RW 004 DUSUN HARAPAN
Enok,Suhada,RT 013 RW 005 DUSUN SYUHADA
Enok,Suhada,RT 014 RW 005 DUSUN SYUHADA
Enok,Suhada,RT 015 RW 005 DUSUN SYUHADA
Enok,Suhada,RT 016 RW 006 DUSUN SYUHADA
Enok,Suhada,RT 017 RW 006 DUSUN SYUHADA
Enok,Suhada,RT 018 RW 006 DUSUN SYUHADA
Enok,Suhada,RT 019 RW 006 DUSUN SYUHADA
Enok,Suhada,RT 020 RW 006 DUSUN SYUHADA
Enok,Suhada,RT 021 RW 007 DUSUN SAWIT
Enok,Suhada,RT 022 RW 003 DUSUN SETIA
Enok,Suhada,RT 023 RW 004 DUSUN HARAPAN
Enok,Sungai Rukam,RT 001 RW 001 DUSUN RUKAM JAYA
Enok,Sungai Rukam,RT 002 RW 001 DUSUN RUKAM JAYA
Enok,Sungai Rukam,RT 003 RW 001 DUSUN RUKAM JAYA
Enok,Sungai Rukam,RT 004 RW 001 DUSUN RUKAM JAYA
Enok,Sungai Rukam,RT 005 RW 001 DUSUN RUKAM JAYA
Enok,Sungai Rukam,RT 006 RW 001 DUSUN RUKAM JAYA
Enok,Sungai Rukam,RT 001 RW 002 DUSUN MULYA JAYA
Enok,Sungai Rukam,RT 002 RW 002 DUSUN MULYA JAYA
Enok,Sungai Rukam,RT 003 RW 002 DUSUN MULYA JAYA
Enok,Sungai Rukam,RT 004 RW 002 DUSUN MULYA JAYA
Enok,Sungai Rukam,RT 005 RW 002 DUSUN MULYA JAYA
Enok,Sungai Rukam,RT 006 RW 002 DUSUN MULYA JAYA
Enok,Sungai Rukam,RT 007 RW 002 DUSUN MULYA JAYA
Enok,Sungai Rukam,RT 001 RW 003 DUSUN PERMAI JAYA
Enok,Sungai Rukam,RT 002 RW 003 DUSUN PERMAI JAYA
Enok,Sungai Rukam,RT 003 RW 003 DUSUN PERMAI JAYA
Enok,Sungai Rukam,RT 001 RW 004 DUSUN PERMAI JAYA
Enok,Sungai Rukam,RT 002 RW 004 DUSUN PERMAI JAYA
Enok,Sungai Rukam,RT 003 RW 004 DUSUN PERMAI JAYA
Enok,Sungai Rukam,RT 004 RW 004 DUSUN PERMAI JAYA
Enok,Sungai Rukam,RT 001 RW 005 DUSUN SEPAKAT
Enok,Sungai Rukam,RT 002 RW 005 DUSUN SEPAKAT
Enok,Sungai Rukam,RT 003 RW 005 DUSUN SEPAKAT
Enok,Sungai Rukam,RT 004 RW 005 DUSUN SEPAKAT
Enok,Sungai Rukam,RT 001 RW 006 DUSUN SEPAKAT
Enok,Sungai Rukam,RT 002 RW 006 DUSUN SEPAKAT
Enok,Sungai Rukam,RT 003 RW 006 DUSUN SEPAKAT
Enok,Pengalihan,RT 001 RW 001 DUSUN BERINGIN JAYA
Enok,Pengalihan,RT 002 RW 001 DUSUN BERINGIN JAYA
Enok,Pengalihan,RT 003 RW 001 DUSUN BERINGIN JAYA
Enok,Pengalihan,RT 004 RW 001 DUSUN BERINGIN JAYA
Enok,Pengalihan,RT 001 RW 002 DUSUN KAMPUNG TENGAH
Enok,Pengalihan,RT 002 RW 002 DUSUN KAMPUNG TENGAH
Enok,Pengalihan,RT 003 RW 002 DUSUN KAMPUNG TENGAH
Enok,Pengalihan,RT 004 RW 002 DUSUN KAMPUNG TENGAH
Enok,Pengalihan,RT 001 RW 003 DUSUN SRI GADING
Enok,Pengalihan,RT 002 RW 003 DUSUN SRI GADING
Enok,Pengalihan,RT 003 RW 003 DUSUN SRI GADING
Enok,Pengalihan,RT 001 RW 004 DUSUN KAMPUNG MELAYU
Enok,Pengalihan,RT 002 RW 004 DUSUN KAMPUNG MELAYU
Enok,Pengalihan,RT 003 RW 004 DUSUN KAMPUNG MELAYU
Enok,Pengalihan,RT 004 RW 004 DUSUN KAMPUNG MELAYU
Enok,Pengalihan,RT 001 RW 005 DUSUN GUNTUNG JAYA
Enok,Pengalihan,RT 002 RW 005 DUSUN GUNTUNG JAYA
Enok,Pengalihan,RT 003 RW 005 DUSUN GUNTUNG JAYA
Enok,Pengalihan,RT 004 RW 005 DUSUN GUNTUNG JAYA
Enok,Pengalihan,RT 001 RW 006 DUSUN GEMILANG JAYA
Enok,Pengalihan,RT 002 RW 006 DUSUN GEMILANG JAYA
Enok,Pengalihan,RT 003 RW 006 DUSUN GEMILANG JAYA
Enok,Pengalihan,RT 001 RW 007 DUSUN SRI GADING
Enok,Pengalihan,RT 002 RW 007 DUSUN SRI GADING
Enok,Sungai Ambat,RT 001 RW 001 DUSUN MAWAR
Enok,Sungai Ambat,RT 002 RW 001 DUSUN MAWAR
Enok,Sungai Ambat,RT 003 RW 002 DUSUN MURNI
Enok,Sungai Ambat,RT 004 RW 002 DUSUN MURNI
Enok,Sungai Ambat,RT 005 RW 003 DUSUN SETIA KAWAN
Enok,Sungai Ambat,RT 006 RW 003 DUSUN SETIA KAWAN
Enok,Sungai Ambat,RT 007 RW 003 DUSUN SETIA KAWAN
Enok,Sungai Ambat,RT 008 RW 004 DUSUN MELATI
Enok,Sungai Ambat,RT 009 RW 004 DUSUN MELATI
Enok,Sungai Ambat,RT 010 RW 005 DUSUN PANCAR MULYA
Enok,Sungai Ambat,RT 011 RW 005 DUSUN PANCAR MULYA
Enok,Sungai Ambat,RT 012 RW 004 DUSUN MELATI
Enok,Sungai Ambat,PARIT KUNYIT, PARIT SABA, PARIT GELAM TIGA
Enok,Sungai Ambat,PARIT PAHANAN DAN PARIT H.SALIM
Enok,Pusaran,RT 001 RW 001
Enok,Pusaran,RT 001 RW 002
Enok,Pusaran,RT 002 RW 002
Enok,Pusaran,RT 001 RW 003
Enok,Pusaran,RT 002 RW 003
Enok,Pusaran,RT 003 RW 003
Enok,Pusaran,RT 004 RW 003
Enok,Pusaran,RT 005 RW 003
Enok,Pusaran,RT 006 RW 003
Enok,Pusaran,RT 007 RW 003
Enok,Pusaran,RT 001 RW 004
Enok,Pusaran,RT 002 RW 004
Enok,Pusaran,RT 003 RW 004
Enok,Pusaran,RT 001 RW 005
Enok,Pusaran,RT 002 RW 005
Enok,Pusaran,RT 003 RW 005
Enok,Pusaran,RT 004 RW 005
Enok,Pusaran,RT 001 RW 006
Enok,Pusaran,RT 002 RW 006
Enok,Pusaran,RT 003 RW 006
Enok,Pusaran,RT 004 RW 006
Enok,Pusaran,PERKEBUNAN RT 02 RW 01 PUSARAN 5
Enok,Enok,RT 001 RW 001
Enok,Enok,RT 002 RW 001
Enok,Enok,RT 003 RW 001
Enok,Enok,RT 004 RW 001
Enok,Enok,RT 005 RW 001
Enok,Enok,RT 001 RW 002
Enok,Enok,RT 002 RW 002
Enok,Enok,RT 003 RW 002
Enok,Enok,RT 001 RW 003
Enok,Enok,RT 002 RW 003
Enok,Enok,RT 003 RW 003
Enok,Enok,RT 001 RW 004
Enok,Enok,RT 002 RW 004
Enok,Enok,RT 001 RW 005
Enok,Enok,RT 002 RW 005
Enok,Enok,RT 003 RW 005
Enok,Enok,RT 004 RW 005
Enok,Enok,RT 005 RW 005
Enok,Enok,RT 001 RW 006
Enok,Enok,RT 002 RW 006
Enok,Enok,RT 003 RW 006
Enok,Enok,RT 004 RW 006
Enok,Enok,RT 005 RW 006
Enok,Enok,PERKEBUNAN
Enok,Teluk Medan,RT 001 RW 001
Enok,Teluk Medan,RT 002 RW 001
Enok,Teluk Medan,RT 001 RW 002
Enok,Teluk Medan,RT 002 RW 002
Enok,Teluk Medan,RT 003 RW 002
Enok,Teluk Medan,RT 001 RW 003
Enok,Teluk Medan,RT 002 RW 003
Enok,Teluk Medan,RT 001 RW 004
Enok,Teluk Medan,RT 002 RW 004
Enok,Teluk Medan,PERKEBUNAN PARIT 11,12,13,14
Enok,Teluk Medan,PERKEBUNAN PARIT 5,6,7,8,9,10
Enok,Rantau Panjang,RT 001 RW 001 DUSUN 1
Enok,Rantau Panjang,RT 002 RW 001 DUSUN 1
Enok,Rantau Panjang,RT 003 RW 001 DUSUN 1
Enok,Rantau Panjang,RT 004 RW 002 DUSUN 1
Enok,Rantau Panjang,RT 005 RW 002 DUSUN 1
Enok,Rantau Panjang,RT 007 RW 003 DUSUN 2
Enok,Rantau Panjang,RT 008 RW 003 DUSUN 2
Enok,Rantau Panjang,RT 009 RW 003 DUSUN 2
Enok,Rantau Panjang,RT 010 RW 004 DUSUN 3
Enok,Rantau Panjang,RT 011 RW 004 DUSUN 3
Enok,Rantau Panjang,RT 006 RW 002 DUSUN 1
Enok,Simpang Tiga,RT 001 RW 001 DUSUN SIMPANG 3 PASAR
Enok,Simpang Tiga,RT 007 RW 001 DUSUN SIMPANG 3 PASAR
Enok,Simpang Tiga,RT 008 RW 001 DUSUN SIMPANG 3 PASAR
Enok,Simpang Tiga,RT 002 RW 002 DUSUN SIMPANG 3 PASAR
Enok,Simpang Tiga,RT 003 RW 003 DUSUN SIMPANG 3 PASAR
Enok,Simpang Tiga,RT 004 RW 004 DUSUN TANJUNG PENYALAI
Enok,Simpang Tiga,RT 005 RW 004 DUSUN TANJUNG PENYALAI
Enok,Simpang Tiga,RT 006 RW 003 DUSUN SEI.SIALANG
Enok,Simpang Tiga,PERKEBUNAN (001P)
Enok,Simpang Tiga,PERKEBUNAN (SEBERANG SP 3) (005P)
Enok,Jaya Bhakti,RT 001 RW 001 DUSUN JAYA BHAKTI
Enok,Jaya Bhakti,RT 002 RW 001 DUSUN JAYA BHAKTI
Enok,Jaya Bhakti,RT 003 RW 001 DUSUN JAYA BHAKTI
Enok,Jaya Bhakti,RT 004 RW 001 DUSUN JAYA BHAKTI
Enok,Jaya Bhakti,RT 001 RW 002 DUSUN JAYA BHAKTI
Enok,Jaya Bhakti,RT 002 RW 002 DUSUN JAYA BHAKTI
Enok,Jaya Bhakti,RT 003 RW 002 DUSUN JAYA BHAKTI
Enok,Jaya Bhakti,RT 004 RW 002 DUSUN JAYA BHAKTI
Enok,Jaya Bhakti,RT 001 RW 001 DUSUN DARUL HUDA
Enok,Jaya Bhakti,RT 002 RW 001 DUSUN DARUL HUDA
Enok,Jaya Bhakti,RT 003 RW 001 DUSUN DARUL HUDA
Enok,Jaya Bhakti,RT 004 RW 001 DUSUN DARUL HUDA
Enok,Jaya Bhakti,RT 001 RW 002 DUSUN DARUL HUDA
Enok,Jaya Bhakti,RT 002 RW 002 DUSUN DARUL HUDA
Enok,Jaya Bhakti,RT 001 RW 003 DUSUN DARUL HUDA
Enok,Jaya Bhakti,RT 002 RW 003 DUSUN DARUL HUDA
Enok,Jaya Bhakti,RT 001 RW 001 DUSUN DARUL MAKMUR
Enok,Jaya Bhakti,RT 002 RW 001 DUSUN DARUL MAKMUR
Enok,Jaya Bhakti,RT 002 RW 002 DUSUN DARUL MAKMUR
Enok,Jaya Bhakti,RT 001 RW 003 DUSUN DARUL MAKMUR
Enok,Sungai Lokan,RT 003 RW 002 DUSUN SUKA MAJU
Enok,Sungai Lokan,RT 001 RW 001 DUSUN SUKA MAJU
Enok,Sungai Lokan,RT 001 RW 002 DUSUN SUKA MAJU
Enok,Sungai Lokan,RT 001 RW 003 DUSUN SUKA JADI
Enok,Sungai Lokan,RT 003 RW 003 DUSUN SUKA JADI
Enok,Sungai Lokan,RT 001 RW 004 DUSUN SUKA JADI
Enok,Sungai Lokan,RT 002 RW 004 DUSUN SUKA JADI
Enok,Sungai Lokan,RT 003 RW 004 DUSUN SUKA JADI
Enok,Sungai Lokan,RT 003 RW 001 DUSUN SUKA MAJU
Enok,Sungai Lokan,RT 002 RW 002 DUSUN SUKA MAJU
Enok,Sungai Lokan,RT 002 RW 003 DUSUN SUKA JADI
Enok,Sungai Lokan,RT 002 RW 001 DUSUN SUKA MAJU
Enok,Sungai Lokan,PERKEBUNAN KELAPA PARIT
